Date,Open,High,Low,Close,Adj Close,Volume
2022-07-28,18.299999,18.770000,18.290001,18.580000,18.580000,41940100
2022-07-29,18.510000,18.850000,18.480000,18.780001,18.780001,40795600
2022-08-01,18.850000,18.870001,18.610001,18.730000,18.730000,37087800
2022-08-02,18.719999,18.740000,18.320000,18.360001,18.360001,43625200
2022-08-03,18.420000,18.510000,18.309999,18.370001,18.370001,35524300
2022-08-04,18.309999,18.379999,18.219999,18.270000,18.270000,28287800
2022-08-05,18.270000,18.360001,18.090000,18.350000,18.350000,32712600
2022-08-08,18.360001,18.410000,18.000000,18.000000,18.000000,44042500
2022-08-09,18.040001,18.219999,18.040001,18.100000,18.100000,33257500
2022-08-10,18.219999,18.250000,17.990000,18.010000,18.010000,50229500
2022-08-11,18.059999,18.170000,18.010000,18.040001,18.040001,40798900
2022-08-12,18.100000,18.270000,18.090000,18.270000,18.270000,25800800
2022-08-15,18.190001,18.459999,18.200001,18.389999,18.389999,24702531
